season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,spread,over_under,home_moneyline,away_moneyline,actual_margin,total_points,home_covered,over_hit,spread_error,spread_group
2020,4,Louisiana,Georgia Southern,Sun Belt,Sun Belt,20,18,-11.5,49.0,,,2,38,True,False,13.5,Small Home Favorite
2020,4,Virginia Tech,NC State,ACC,ACC,45,24,-6.0,56.5,,,21,69,True,True,27.0,Small Home Favorite
2020,4,TCU,Iowa State,Big 12,Big 12,34,37,3.5,43.5,,,-3,71,False,True,-6.5,Small Home Underdog
2020,4,UL Monroe,UTEP,Sun Belt,Conference USA,6,31,-9.5,50.0,,,-25,37,False,False,-15.5,Small Home Favorite
2020,4,Baylor,Kansas,Big 12,Big 12,47,14,-17.0,61.0,,,33,61,True,False,50.0,Big Home Favorite
2020,5,Kansas,Oklahoma State,Big 12,Big 12,7,47,21.5,53.0,,,-40,54,False,True,-61.5,Big Home Underdog
2020,5,Clemson,Virginia,ACC,ACC,41,23,-28.0,55.0,,,18,64,True,True,46.0,Big Home Favorite
2020,5,Texas,TCU,Big 12,Big 12,31,33,-10.5,61.5,,,-2,64,True,True,8.5,Small Home Favorite
2020,5,Iowa State,Oklahoma,Big 12,Big 12,37,30,7.5,62.5,,,7,67,False,True,-0.5,Small Home Underdog
2020,13,Texas,Iowa State,Big 12,Big 12,20,23,1.5,57.5,,,-3,43,False,False,-4.5,Small Home Underdog
2020,13,Alabama,Auburn,SEC,SEC,42,13,-24.5,64.5,,,29,55,True,False,53.5,Big Home Favorite
2020,13,Texas A&M,LSU,SEC,SEC,20,7,-15.5,60.5,,,13,27,True,False,28.5,Big Home Favorite
2020,13,Florida,Kentucky,SEC,SEC,34,10,-24.0,60.5,,,24,44,True,False,48.0,Big Home Favorite
2020,13,South Carolina,Georgia,SEC,SEC,16,45,22.0,50.5,,,-29,61,False,True,-51.0,Big Home Underdog
2020,13,Oklahoma State,Texas Tech,Big 12,Big 12,50,44,-11.5,57.0,,,6,94,True,True,17.5,Small Home Favorite
2020,13,East Carolina,SMU,American Athletic,American Athletic,52,38,11.5,72.0,,,14,90,True,True,2.5,Small Home Underdog
2020,13,Georgia State,Georgia Southern,Sun Belt,Sun Belt,30,24,-2.5,51.0,,,6,54,True,True,8.5,Small Home Favorite
2020,5,Cincinnati,South Florida,American Athletic,American Athletic,28,7,-22.5,45.5,,,21,35,True,False,43.5,Big Home Favorite
2020,5,Boston College,North Carolina,ACC,ACC,22,26,14.5,52.5,,,-4,48,False,False,-18.5,Big Home Underdog
2020,5,BYU,Louisiana Tech,FBS Independents,Conference USA,45,14,-24.0,61.0,,,31,59,True,False,55.0,Big Home Favorite
2020,13,Texas State,Coastal Carolina,Sun Belt,Sun Belt,14,49,16.5,58.5,,,-35,63,False,True,-51.5,Big Home Underdog
2020,13,Arkansas State,South Alabama,Sun Belt,Sun Belt,31,38,-7.5,63.5,,,-7,69,True,True,0.5,Small Home Favorite
2020,6,Florida International,Middle Tennessee,Conference USA,Conference USA,28,31,-6.5,57.0,,,-3,59,True,True,3.5,Small Home Favorite
2020,6,North Carolina,Virginia Tech,ACC,ACC,56,45,-3.5,58.5,,,11,101,True,True,14.5,Small Home Favorite
2020,6,Iowa State,Texas Tech,Big 12,Big 12,31,15,-10.0,63.5,,,16,46,True,False,26.0,Small Home Favorite
2020,6,South Florida,East Carolina,American Athletic,American Athletic,24,44,-5.5,58.0,,,-20,68,False,True,-14.5,Small Home Favorite
2020,6,Kentucky,Mississippi State,SEC,SEC,24,2,-3.5,57.5,,,22,26,True,False,25.5,Small Home Favorite
